trigramas,virtual,presencial
se recibe mail,1,0
mail con certificado,1,0
recibe mail con,1,0
recibo certificado de,1,0
recibe mail de,1,0
recibo mail con,1,0
mail con cert,1,0
mail de coordinacion,1,0
aviso de ausencia,1,0
envia mail con,1,0
consultorio para entrega,0,1
acude consultorio para,0,1
reposo hs cito,1,0
acude ml con,0,1
mail con certif,1,0
se cita ml,1,0
ml con certificado,0,1
hs cito ml,1,0
envia constancia de,1,0
aviso del sector,1,0
entrega de certificados,0,1
reposo hs acude,0,1
recibo mail de,1,0
mail de sector,1,0
se recibe certificado,1,0
se recibe aviso,1,0
mail del sector,1,0
se recibe constancia,1,0
con aviso de,1,
concurre ml con,0,1
concurre con certificado,0,1
envia por mail,1,0
hs acude consultorio,0,1
mail informando que,1,0
recibo aviso del,1,0
envia cert del,1,
envia mail informando,1,0
envia certificado de,1,0
mail desde sector,1,0
recibo aviso de,1,0
recibe mail desde,1,0
acude consultorio con,0,1